# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Mar  1 13:35:16 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN st_spectype:    Spectral Type
# COLUMN sy_umag:        u (Sloan) Magnitude
# COLUMN sy_gmag:        g (Sloan) Magnitude
# COLUMN sy_rmag:        r (Sloan) Magnitude
# COLUMN sy_imag:        i (Sloan) Magnitude
# COLUMN sy_zmag:        z (Sloan) Magnitude
#
pl_name,st_spectype,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag
11 Com b,,,,,,
11 Com b,G8 III,,,,,
11 Com b,G8 III,,,,,
11 UMi b,,,,,,
11 UMi b,,,,,,
11 UMi b,K4 III,,,,,
14 And b,K0 III,,,,,
14 And b,,,,,,
14 And b,K0 III,,,,,
14 Her b,K0 V,,,,,
14 Her b,,,,,,
14 Her b,,,,,,
14 Her b,,,,,,
14 Her b,,,,,,
14 Her b,,,,,,
14 Her b,K0 V,,,,,
14 Her b,,,,,,
16 Cyg B b,,,,,,
16 Cyg B b,,,,,,
16 Cyg B b,G2.5 V,,,,,
16 Cyg B b,,,,,,
16 Cyg B b,G3 V,,,,,
16 Cyg B b,,,,,,
17 Sco b,K3 III,,,,,
18 Del b,G6 III,,,,,
18 Del b,G6 III,,,,,
18 Del b,,,,,,
1RXS J160929.1-210524 b,,,,,,
1RXS J160929.1-210524 b,K7 V,,,,,
1RXS J160929.1-210524 b,,,,,,
1RXS J160929.1-210524 b,K7 V,,,,,
24 Boo b,G3 IV,,,,,
24 Boo b,G3 IV,,,,,
24 Sex b,,,,,,
24 Sex c,,,,,,
2M0437 b,M V,,,,,
2MASS J01033563-5515561 AB b,M5.5/M6,,,,,
2MASS J01225093-2439505 b,,,,,,
2MASS J01225093-2439505 b,M3.5 V,,,,,
2MASS J02192210-3925225 b,M6,,,,,
2MASS J04414489+2301513 b,M8.5,,,,,
2MASS J12073346-3932539 b,M8,,,,,
2MASS J12073346-3932539 b,,,,,,
2MASS J19383260+4603591 b,,,,,,
2MASS J19383260+4603591 b,,,,,,
2MASS J22362452+4751425 b,K7 V,,,,,
30 Ari B b,F6 V,,,,,
30 Ari B b,,,,,,
30 Ari B b,,,,,,
4 UMa b,K1 III,,,,,
4 UMa b,K1 III,,,,,
42 Dra b,K1.5 III,,,,,
47 UMa b,G0 V,,,,,
47 UMa b,,,,,,
47 UMa b,,,,,,
47 UMa b,G1 V,,,,,
47 UMa b,,,,,,
47 UMa c,,,,,,
47 UMa c,G1 V,,,,,
47 UMa c,,,,,,
47 UMa d,,,,,,
47 UMa d,,,,,,
51 Eri b,,,,,,
51 Eri b,,,,,,
