pl_name,st_spectype,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag
TOI-2084 b,M,18.6919,16.0801,14.6494,17.9112,13.2406
TOI-1801 b,M,16.4486,12.6586,11.0055,10.2729,10.7555
K2-133 c,M,17.2832,15.2645,13.6265,12.9151,12.7195
K2-133 e,M,17.2832,15.2645,13.6265,12.9151,12.7195
K2-133 d,M,17.2832,15.2645,13.6265,12.9151,12.7195
TOI-3785 b,M,17.9187,15.4753,14.0744,13.2233,12.4056
TOI-3984 A b,M,19.1895,16.5597,15.1645,13.9346,13.2853
TOI-1853 b,K,15.5075,14.9806,11.9848,11.7529,11.8545
Wolf 327 b,M,16.6342,15.6776,14.839,14.9466,11.0601
WASP-77 A b,G,13.9531,12.9972,11.797,11.4129,12.4989
WASP-77 A b,G,13.9531,12.9972,11.797,11.4129,12.4989
WASP-77 A b,G,13.9531,12.9972,11.797,11.4129,12.4989
WASP-77 A b,G,13.9531,12.9972,11.797,11.4129,12.4989
HD 81688 b,K,13.0932,10.9213,9.31906,8.71834,7.85169
K2-3 d,M,15.7198,13.021,11.6746,10.9702,12.8219
K2-3 c,M,15.7198,13.021,11.6746,10.9702,12.8219
K2-26 b,M,17.9402,15.3953,13.9867,15.1085,12.6301
K2-3 c,M,15.7198,13.021,11.6746,10.9702,12.8219
K2-3 d,M,15.7198,13.021,11.6746,10.9702,12.8219
K2-285 e,K,15.5161,12.7522,11.8383,11.5786,11.9155
K2-138 d,K,15.0982,14.8948,12.065,11.8643,13.046
K2-138 f,K,15.0982,14.8948,12.065,11.8643,13.046
K2-138 b,G,15.0982,14.8948,12.065,11.8643,13.046
K2-138 c,G,15.0982,14.8948,12.065,11.8643,13.046
TOI-1235 b,M,15.5509,12.4631,11.0518,10.3898,10.4306
TOI-4600 c,K,15.6878,13.5581,12.4417,12.2599,13.542
K2-138 b,K,15.0982,14.8948,12.065,11.8643,13.046
K2-138 d,G,15.0982,14.8948,12.065,11.8643,13.046
K2-138 e,K,15.0982,14.8948,12.065,11.8643,13.046
K2-138 e,G,15.0982,14.8948,12.065,11.8643,13.046
K2-138 g,G,15.0982,14.8948,12.065,11.8643,13.046
K2-26 b,M,17.9402,15.3953,13.9867,15.1085,12.6301
K2-3 d,M,15.7198,13.021,11.6746,10.9702,12.8219
TOI-2266 b,M,19.7451,17.0178,15.5441,14.072,13.2908
WASP-60 b,G,15.2691,12.7213,12.0479,11.8383,12.8267
WASP-60 b,G,15.2691,12.7213,12.0479,11.8383,12.8267
K2-19 c,G,15.8639,13.8193,12.8409,12.7544,13.8979
WASP-44 b,G,15.166,13.6646,13.0208,12.8951,12.7993
WASP-28 b,F,14.7175,12.489,12.1297,11.9538,13.1488
K2-19 d,G,15.8639,13.8193,12.8409,12.7544,13.8979
TOI-530 b,M,19.0336,16.4039,15.0071,13.9635,13.4076
K2-417 b,M,17.1655,15.0425,13.4888,12.7282,12.4275
WASP-150 b,F,14.9124,15.0708,14.755,14.3734,13.2027
WASP-150 b,F,14.9124,15.0708,14.755,14.3734,13.2027
K2-3 c,M,15.7198,13.021,11.6746,10.9702,12.8219
K2-29 b,G,15.6146,13.3064,15.3971,14.1186,12.8538
K2-113 b,G,15.9897,14.3517,13.5701,13.4248,13.6006
KPS-1 b,K,15.8115,14.0546,13.6166,13.3087,12.6538
CoRoT-19 b,F,15.9662,14.4123,13.7257,13.4259,13.2554
WASP-114 b,G,15.5387,13.0723,12.5318,12.3797,12.4167
K2-34 b,F,15.2228,12.0134,11.477,11.386,13.974
HAT-P-3 b,K,15.3497,12.0573,11.2937,11.093,11.4145
GJ 3470 b,M,15.9337,15.4392,11.8694,10.7632,10.575
WASP-83 b,G,15.4862,12.7593,12.0389,11.8786,12.1284
HAT-P-12 b,K,15.7005,14.179,12.5706,12.1515,12.8943
GJ 1151 c,M,16.4793,15.3392,12.7729,11.0613,10.6971
K2-3 c,M,15.7198,13.021,11.6746,10.9702,12.8219
K2-3 d,M,15.7198,13.021,11.6746,10.9702,12.8219
Qatar-3 b,G,15.1965,14.0653,14.2163,13.6803,13.1858
HAT-P-12 b,K,15.7005,14.179,12.5706,12.1515,12.8943
EPIC 246851721 b,F,15.2612,11.7275,11.3069,11.1782,11.3319
HD 108202 b,K,14.7664,11.2642,9.79696,9.38691,12.0617
WASP-177 b,K,15.7064,15.6314,15.0297,11.8306,11.905
WASP-180 A b,F,13.7542,12.1512,11.6418,11.4788,12.6023
HAT-P-66 b,G,15.1285,13.5302,13.0217,14.1947,13.4445
WASP-153 b,G,15.5386,13.3,12.5399,12.4093,13.3446
WASP-21 b,G,14.1475,12.0589,11.4945,11.3607,12.7326
WASP-181 b,G,15.4577,13.5507,12.8213,14.4323,13.7035
K2-25 b,M,19.7432,16.7256,15.2717,13.8731,12.8154
HAT-P-28 b,G,15.1459,14.2734,13.1281,12.8267,12.8394
HAT-P-24 b,F,14.315,11.999,11.6961,11.621,12.6475
HAT-P-21 b,G,14.8395,12.4013,11.5915,11.4387,13.532
WASP-113 b,G,14.9317,12.2366,11.6501,11.569,12.3806
Qatar-7 b,F,15.2332,15.369,13.0463,12.8781,13.3242
TOI-530 b,M,19.0336,16.4039,15.0071,13.9635,13.4076
WASP-158 b,F,14.8961,12.71,12.1477,12.0377,13.333
WASP-21 b,G,14.1475,12.0589,11.4945,11.3607,12.7326
WASP-54 b,F,13.9063,10.7614,10.3119,10.2734,10.4784
WASP-52 b,K,15.2394,12.8638,11.9799,11.797,13.622
WASP-21 b,G,14.1475,12.0589,11.4945,11.3607,12.7326
WASP-65 b,G,15.326,12.521,11.7755,11.6309,12.1361
LP 791-18 d,M,21.2975,17.8827,16.2672,14.3142,13.2565
KPS-1 b,K,15.8115,14.0546,13.6166,13.3087,12.6538
WASP-57 b,G,15.0087,13.4649,14.3176,12.7321,12.9354
GJ 436 b,M,15.9785,11.8123,10.0822,8.92183,8.6612
HAT-P-24 b,F,14.315,11.999,11.6961,11.621,12.6475
WASP-183 b,G,15.2679,13.5915,12.9127,12.7579,13.3566
