pl_name,st_spectype,sy_umagstr,sy_gmagstr,sy_rmagstr,sy_imagstr,sy_zmagstr
"OGLE-TR-10 b",,,,,,
"BD-08 2823 b","K3 V",,,,,
"BD-08 2823 c","K3 V",,,,,
"HR 8799 c","A5 V",,,,,
"HD 104985 b",,,,,,
"4 UMa b","K1 III",,,,,
"HD 104985 b","G9 III",,,,,
"kap CrB b",,,,,,
"kap CrB b",,,,,,
"kap CrB b",,,,,,
"14 And b",,,,,,
"18 Del b",,,,,,
"81 Cet b",,,,,,
"HD 81688 b",,"13.0932000&plusmn;0.0039422","10.9213000&plusmn;0.0039214","9.3190600&plusmn;0.0061369","8.7183400&plusmn;0.0069218","7.8516900&plusmn;0.0015327"
"xi Aql b",,,,,,
"HD 180314 b",,,,,,
"HD 208897 b","K0",,,,,
"HD 147379 b","M0.0 V",,,,,
"HD 47366 c","K1 III",,,,,
"6 Lyn b","K0 IV",,,,,
"81 Cet b","G5 III",,,,,
"TOI-4145 A b",,,,,,
"gam Lib b","K0 III",,,,,
"gam Lib c","K0 III",,,,,
"HD 110014 b","K2 III",,,,,
"TOI-2084 b","M2+/-0.5","18.691900&plusmn;0.020125","16.0801000&plusmn;0.0033815","14.6494000&plusmn;0.0033045","17.9112000&plusmn;0.0213238","13.240600&plusmn;0.003529"
"TOI-470 b",,,,,,
"K2-371 b",,"17.1025000&plusmn;0.0079979","15.1058000&plusmn;0.0034808","14.3425000&plusmn;0.0034247","14.0699000&plusmn;0.0036812","13.9497000&plusmn;0.0040976"
"TOI-5704 b",,,,,,
"HD 23472 d","K4 V",,,,,
"TOI-2796 b",,"15.3220000&plusmn;0.0081764","12.9273000&plusmn;0.0013198","12.3989000&plusmn;0.0011876","12.2972000&plusmn;0.0007541","13.6408000&plusmn;0.0099131"
"TOI-2194 b",,,,,,
"TOI-672 b",,,,,,
"TOI-1221 b",,,,,,
"TOI-199 b","G9 V",,,,,
"TOI-199 c","G9 V",,,,,
"HD 235088 b","K2 V",,,,,
"TOI-2096 c","M4",,,,,
"HD 23472 c",,,,,,
"TOI-3235 b",,,,,,
"Kepler-33 d",,,,,,
"HIP 5158 b",,,,,,
"HD 6718 b",,,,,,
"HD 156846 b",,,,,,
"HD 132563 b",,,,,,
"HD 137388 b",,,,,,
"HD 85512 b","K5 V",,,,,
"HD 23127 b","G2 V",,,,,
"HD 100655 b","G9 III",,,,,
"Kepler-24 c",,,,,,
"GJ 667 C b",,,,,,
"GJ 667 C b",,,,,,
"HD 155358 b","G0",,,,,
"HD 79498 b","G5",,,,,
"GJ 667 C b","M1.5 V",,,,,
"GJ 667 C b",,,,,,
"GJ 667 C b",,,,,,
"GJ 667 C c",,,,,,
"GJ 667 C c",,,,,,
"GJ 667 C c","M1.5 V",,,,,
"GJ 667 C c",,,,,,
"GJ 667 C e","M1.5 V",,,,,
"GJ 667 C f","M1.5 V",,,,,
"GJ 667 C g","M1.5 V",,,,,
"CHXR 73 b","M3.5",,,,,
"HD 13189 b",,,,,,
"GJ 433 b","M1.5",,,,,
"HIP 5158 b",,,,,,
"alf Ari b",,,,,,
"tau Gem b",,,,,,
"HD 62509 b",,,,,,
"Kepler-370 c",,,,,,
"Kepler-400 b",,,,,,
"Kepler-221 b",,,,,,
"Kepler-367 c",,,,,,
"Kepler-393 c",,,,,,
"Kepler-304 c",,,,,,
"Kepler-360 b",,,,,,
"Kepler-101 c",,,,,,
"Kepler-243 c",,,,,,
"Kepler-261 c",,"16.1260000&plusmn;0.0061588","14.2516000&plusmn;0.0031631","12.1978000&plusmn;0.0022747","15.7464000&plusmn;0.0135906","13.1533000&plusmn;0.0036238"
"Kepler-327 d",,,,,,
"Kepler-136 b",,,,,,
"Kepler-122 d",,,,,,
"Kepler-157 c",,"15.8161000&plusmn;0.0052361","14.4421000&plusmn;0.0028484","13.9788000&plusmn;0.0028292","13.8306000&plusmn;0.0028707","13.7869000&plusmn;0.0035261"
"Kepler-147 c",,"15.7373000&plusmn;0.0049133","14.3928000&plusmn;0.0029013","13.8810000&plusmn;0.0029399","16.8578000&plusmn;0.0162992","13.6247000&plusmn;0.0036556"
"Kepler-239 b",,,,,,
"Kepler-200 b",,,,,,
"Kepler-243 b",,,,,,
"Kepler-160 c",,,,,,
"Kepler-254 b",,,,,,
"Kepler-172 c",,,,,,
"Kepler-299 c",,,,,,
"Kepler-278 c",,"15.912500&plusmn;0.007664","14.8048000&plusmn;0.0103998","12.7369000&plusmn;0.0024667","13.2031000&plusmn;0.0077376","13.4701000&plusmn;0.0129879"
"Kepler-339 d",,,,,,
"Kepler-397 b",,,,,,
"Kepler-399 b",,,,,,
"HD 219415 b","K0 III",,,,,
"Pr0201 b",,,,,,
"HD 207832 b",,,,,,
"HD 207832 c",,,,,,
"HD 145457 b",,,,,,
"HD 180314 b",,,,,,
"WASP-176 b","F9",,,,,
"kap CrB b",,,,,,
"HD 210702 b",,,,,,
"6 Lyn b",,,,,,
"kap CrB b",,,,,,
"HD 167042 b",,,,,,
"eps Tau b",,,,,,
"nu Oph b",,,,,,
"75 Cet b","G3 III",,,,,
"omi UMa b",,,,,,
"HD 4732 b","K0 IV",,,,,
"HD 99492 b",,,,,,
"TOI-2141 b",,,,,,
"TOI-908 b",,,,,,
"TOI-1937 A b",,,,,,
"TOI-1801 b","M0.5+/-0.5 V","16.4486000&plusmn;0.0099002","12.6586000&plusmn;0.0013404","11.0055000&plusmn;0.0006649","10.2729000&plusmn;0.0010285","10.7555000&plusmn;0.0032801"
"K2-371 b",,"17.1025000&plusmn;0.0079979","15.1058000&plusmn;0.0034808","14.3425000&plusmn;0.0034247","14.0699000&plusmn;0.0036812","13.9497000&plusmn;0.0040976"
"TOI-2525 b",,,,,,
"TOI-4308 b",,,,,,
"TOI-836 c","K V",,,,,
"K2-271 b",,"15.6574000&plusmn;0.0056077","14.5977000&plusmn;0.0044646","13.8071000&plusmn;0.0032567","13.6758000&plusmn;0.0027201","13.6506000&plusmn;0.0055668"
"K2-330 b",,,,,,
"K2-105 b",,"15.1324000&plusmn;0.0067427","12.432100&plusmn;0.000896","11.7522000&plusmn;0.0008132","11.5689000&plusmn;0.0008367","12.9819000&plusmn;0.0061429"
"K2-271 b",,"15.6574000&plusmn;0.0056077","14.5977000&plusmn;0.0044646","13.8071000&plusmn;0.0032567","13.6758000&plusmn;0.0027201","13.6506000&plusmn;0.0055668"
"K2-98 b",,"14.8585000&plusmn;0.0057237","12.7167000&plusmn;0.0011005","12.1294000&plusmn;0.0009827","12.0217000&plusmn;0.0014758","13.506700&plusmn;0.008161"
"K2-133 c","M1 V","17.2832000&plusmn;0.0097996","15.264500&plusmn;0.004445","13.6265000&plusmn;0.0029213","12.9151000&plusmn;0.0014591","12.7195000&plusmn;0.0052315"
"K2-105 b",,"15.1324000&plusmn;0.0067427","12.432100&plusmn;0.000896","11.7522000&plusmn;0.0008132","11.5689000&plusmn;0.0008367","12.9819000&plusmn;0.0061429"
"K2-271 b",,"15.6574000&plusmn;0.0056077","14.5977000&plusmn;0.0044646","13.8071000&plusmn;0.0032567","13.6758000&plusmn;0.0027201","13.6506000&plusmn;0.0055668"
"K2-98 b",,"14.8585000&plusmn;0.0057237","12.7167000&plusmn;0.0011005","12.1294000&plusmn;0.0009827","12.0217000&plusmn;0.0014758","13.506700&plusmn;0.008161"
"K2-98 b",,"14.8585000&plusmn;0.0057237","12.7167000&plusmn;0.0011005","12.1294000&plusmn;0.0009827","12.0217000&plusmn;0.0014758","13.506700&plusmn;0.008161"
"TOI-3819 b",,"15.2379000&plusmn;0.0071857","12.9883000&plusmn;0.0013572","12.465400&plusmn;0.001074","12.345900&plusmn;0.001292","14.0777000&plusmn;0.0119447"
"TOI-2096 c",,,,,,
"K2-330 b",,,,,,
"K2-98 b",,"14.8585000&plusmn;0.0057237","12.7167000&plusmn;0.0011005","12.1294000&plusmn;0.0009827","12.0217000&plusmn;0.0014758","13.506700&plusmn;0.008161"
"K2-105 b",,"15.1324000&plusmn;0.0067427","12.432100&plusmn;0.000896","11.7522000&plusmn;0.0008132","11.5689000&plusmn;0.0008367","12.9819000&plusmn;0.0061429"
"K2-271 b",,"15.6574000&plusmn;0.0056077","14.5977000&plusmn;0.0044646","13.8071000&plusmn;0.0032567","13.6758000&plusmn;0.0027201","13.6506000&plusmn;0.0055668"
"K2-133 e","M1.5 V","17.2832000&plusmn;0.0097996","15.264500&plusmn;0.004445","13.6265000&plusmn;0.0029213","12.9151000&plusmn;0.0014591","12.7195000&plusmn;0.0052315"
"K2-133 d","M1.5 V","17.2832000&plusmn;0.0097996","15.264500&plusmn;0.004445","13.6265000&plusmn;0.0029213","12.9151000&plusmn;0.0014591","12.7195000&plusmn;0.0052315"
"K2-330 b",,,,,,
"K2-105 b",,"15.1324000&plusmn;0.0067427","12.432100&plusmn;0.000896","11.7522000&plusmn;0.0008132","11.5689000&plusmn;0.0008367","12.9819000&plusmn;0.0061429"
"HD 213885 b",,,,,,
"TOI-2842 b",,,,,,
"TOI-3807 b",,,,,,
"TOI-672 b",,,,,,
"TOI-2803 A b",,,,,,
"K2-271 b",,"15.6574000&plusmn;0.0056077","14.5977000&plusmn;0.0044646","13.8071000&plusmn;0.0032567","13.6758000&plusmn;0.0027201","13.6506000&plusmn;0.0055668"
"11 Com b","G8 III",,,,,
"HD 159868 b","G5 V",,,,,
"7 CMa b","K1 III",,,,,
"HATS-55 b",,,,,,
"K2-148 b",,,,,,
"TOI-3785 b",,"17.9187000&plusmn;0.0127787","15.475300&plusmn;0.003637","14.0744000&plusmn;0.0030833","13.223300&plusmn;0.000591","12.4056000&plusmn;0.0036469"
"TOI-3984 A b",,"19.1895000&plusmn;0.0248635","16.5597000&plusmn;0.0038932","15.1645000&plusmn;0.0035417","13.9346000&plusmn;0.0034051","13.2853000&plusmn;0.0037907"
"TOI-4087 b",,,,,,
"K2-133 d",,"17.2832000&plusmn;0.0097996","15.264500&plusmn;0.004445","13.6265000&plusmn;0.0029213","12.9151000&plusmn;0.0014591","12.7195000&plusmn;0.0052315"
"HD 23472 d",,,,,,
"TOI-2818 b",,,,,,
"TOI-2194 b",,,,,,
"TOI-3023 b",,,,,,
"K2-371 b",,"17.1025000&plusmn;0.0079979","15.1058000&plusmn;0.0034808","14.3425000&plusmn;0.0034247","14.0699000&plusmn;0.0036812","13.9497000&plusmn;0.0040976"
"TOI-2096 b","M4",,,,,
"TOI-3235 b","M V",,,,,
"K2-371 b",,"17.1025000&plusmn;0.0079979","15.1058000&plusmn;0.0034808","14.3425000&plusmn;0.0034247","14.0699000&plusmn;0.0036812","13.9497000&plusmn;0.0040976"
"HD 23472 e",,,,,,
"TOI-2587 A b",,,,,,
"TOI-4463 A b",,,,,,
"HD 23472 b",,,,,,
"TOI-3082 b",,,,,,
"GJ 143 b",,,,,,
"TOI-5803 b",,"14.5452000&plusmn;0.0059654","11.258300&plusmn;0.000403","10.5275000&plusmn;0.0003791","10.2944000&plusmn;0.0002951","10.5927000&plusmn;0.0017177"
"HD 213885 c","G",,,,,
"TOI-1853 b",,"15.5075000&plusmn;0.0069008","14.9806000&plusmn;0.0116585","11.984800&plusmn;0.000805","11.7529000&plusmn;0.0006576","11.8545000&plusmn;0.0035461"
"TOI-2141 b",,,,,,
"TOI-2000 c",,,,,,
"TOI-2525 b","K8 V",,,,,
"TOI-5293 A b",,,,,,
"TOI-3785 b","M2 V","17.9187000&plusmn;0.0127787","15.475300&plusmn;0.003637","14.0744000&plusmn;0.0030833","13.223300&plusmn;0.000591","12.4056000&plusmn;0.0036469"
"TOI-3984 A b","M4+/-0.5","19.1895000&plusmn;0.0248635","16.5597000&plusmn;0.0038932","15.1645000&plusmn;0.0035417","13.9346000&plusmn;0.0034051","13.2853000&plusmn;0.0037907"
"WASP-124 b","F9",,,,,
"LHS 1140 b","M4.5 V",,,,,
"WASP-25 b",,,,,,
"WASP-25 b",,,,,,
"LHS 1140 b",,,,,,
"LHS 1140 c",,,,,,
"WASP-25 b",,,,,,
"TOI-5293 A b","M3+/-1",,,,,
"Teegarden's Star b","M7.0 V",,,,,
"Teegarden's Star c","M7.0 V",,,,,
"WASP-25 b",,,,,,
"WASP-25 b",,,,,,
"LHS 1140 b",,,,,,
"LHS 1140 c",,,,,,
